model,mae,rmse,r2
XGBoost,0.1221554332302631,0.14880167946757528,0.7054581959535824
HistGradientBoosting,0.12458316217072053,0.15341067344044348,0.6869292963168732
Random Forest,0.1333366058870108,0.15685758301129005,0.6727027817890208
Dummy Mean,0.25130577339127386,0.29349679312470023,-0.14587698646141756
