model,mae,rmse,r2
HistGradientBoosting,0.11500463702576603,0.14446111511374118,0.7223912168721263
XGBoost,0.11990300448014064,0.1460281486470245,0.7163358612654185
Random Forest,0.13331370234549747,0.1572611446563473,0.6710164812066841
Dummy Mean,0.25130577339127386,0.29349679312470023,-0.14587698646141756
